date,expenditure_billions,saving_rate_pct,credit_owned_billions,cpi_index,credit_to_spend_ratio,spend_yoy_growth,credit_yoy_growth,inflation_yoy,regime
2020-06-01,13476.8,18.3,4102329.81,257.042,304.39939822509797,-3.212415883252784,0.20365622880751388,0.7166562831830481,2_covid_stimulus
2020-07-01,13683.5,17.9,4118158.78,258.352,300.9579990499507,-2.190151466415058,0.010835627527772118,0.9968647625897997,2_covid_stimulus
2020-08-01,13793.0,13.9,4113990.24,259.316,298.26652939897053,-1.784442735480929,-0.4917155250317773,1.2810698495523853,2_covid_stimulus
2020-09-01,13964.6,13.3,4129452.39,259.997,295.7086053306217,-0.7222988440374833,-0.40696986179832306,1.3910228912373812,2_covid_stimulus
2020-10-01,14007.1,12.8,4134643.38,260.319,295.18197057206703,-0.4272349863512326,-0.6959620672450373,1.2303863428671624,2_covid_stimulus
2020-11-01,13970.3,12.0,4135719.78,260.911,296.03657616515034,-1.2197018977854412,-0.6954920043733659,1.1757452138405844,2_covid_stimulus
2020-12-01,14026.7,11.8,4149026.48,262.045,295.7949111337663,-0.981243426022016,-1.029650270809801,1.3204191315779434,2_covid_stimulus
2021-01-01,14204.7,19.5,4157826.38,262.687,292.7077924912177,-0.18270359153098603,-0.3349073916339429,1.3738437137002402,2_covid_stimulus
2021-02-01,14074.1,13.0,4177322.53,263.579,296.8092119567148,-0.7566248748360427,-0.19407277697239822,1.6698167791706853,2_covid_stimulus
2021-03-01,14680.0,26.2,4190733.4,264.961,285.47230245231606,10.799978866489045,0.46363862207081663,2.6678187820641908,2_covid_stimulus
2021-04-01,14796.0,12.4,4207768.45,266.614,284.38554001081377,25.40470903327514,2.4559983640032312,4.133077115360573,2_covid_stimulus
2021-05-01,14771.4,10.0,4238937.19,268.383,286.969223634862,15.577637807597512,3.6352645426384056,4.918257089467626,2_covid_stimulus
2021-06-01,14892.6,8.8,4389849.1,270.654,294.7671393846608,10.50546123708893,7.008682951310519,5.295632620349999,3_post_inflation_shock
2021-07-01,14869.0,9.5,4406029.54,271.903,296.3231918757146,8.663719077721343,6.990278310735754,5.245169381309234,3_post_inflation_shock
2021-08-01,14970.2,8.7,4423797.93,272.676,295.50693577908106,8.534764010730079,7.530588842622032,5.152015301793966,3_post_inflation_shock
2021-09-01,14990.6,7.6,4447544.21,273.91,296.6888723600123,7.347149220171012,7.703002479706522,5.351215590949132,3_post_inflation_shock
2021-10-01,15085.5,7.0,4464094.97,276.55,295.91958967220177,7.698952674001047,7.96807752740214,6.235042390298062,3_post_inflation_shock
2021-11-01,15115.9,6.6,4489285.61,278.919,296.99095720400373,8.20025339470163,8.549076069172191,6.901970403700863,3_post_inflation_shock
2021-12-01,15059.2,6.6,4512720.41,280.845,299.6653480928602,7.36096159467301,8.765765457346507,7.174340285065539,3_post_inflation_shock
2022-01-01,15067.8,4.2,4527332.7,282.543,300.464082347788,6.076157891402123,8.887006965403899,7.558805726967832,3_post_inflation_shock
2022-02-01,15077.9,4.1,4558346.19,284.5,302.31969902970576,7.132250019539432,9.121241112306478,7.937278766517819,3_post_inflation_shock
2022-03-01,15156.8,3.2,4600150.62,287.674,303.5040786973504,3.2479564032697583,9.769584006465326,8.572204966013853,3_post_inflation_shock
2022-04-01,15235.4,2.6,4633199.93,288.561,304.1075344264017,2.9697215463638793,10.110620036613449,8.231750770777225,3_post_inflation_shock
2022-05-01,15214.1,2.6,4662495.89,291.298,306.45886973268216,2.997007731156165,9.992096627409541,8.538171195642065,3_post_inflation_shock
2022-06-01,15223.6,2.2,4700193.52,294.957,308.7438923776242,2.2225803419147816,7.06959198210253,8.979361103105798,3_post_inflation_shock
2022-07-01,15237.1,3.3,4722331.55,294.913,309.92324983100457,2.4756204183199904,7.178844515872207,8.462576727730099,3_post_inflation_shock
2022-08-01,15319.8,3.2,4751751.66,295.097,310.1706066658834,2.335306141534499,7.413397609686934,8.222579178218826,3_post_inflation_shock
2022-09-01,15330.5,3.4,4778653.2,296.349,311.7088940347673,2.267420917108054,7.444759947647617,8.192106896425821,3_post_inflation_shock
2022-10-01,15358.1,3.4,4810411.05,298.007,313.2165469687005,1.8070332438434367,7.757811657846525,7.758813957693,3_post_inflation_shock
